generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.035749,-117.309,1,0
30000,1,-2.59184,-116.991,2.83534,0.449233
60000,2,-0.766467,-130.253,0.901438,0.447759
90000,0,0.863039,-124.97,0.035983,0.450595
120000,2,1.12492,-121.123,0.831953,0.454155
150000,1,0.329712,-113.478,0.483074,0.452733
180000,0,0.913759,-126.542,0.126021,0.444311
210000,1,1.09205,-105.953,0.33721,0.449028
240000,3,-2.74371,-127.801,1.63747,0.466933
270000,2,0.469015,-94.7418,1.78759,0.447722
300000,1,-0.261464,-119.774,0.831899,0.462733
330000,1,-1.14116,-110.972,0.526343,0.454124
360000,6,-4.41207,-110.899,3.80615,0.44505
390000,0,1.02771,-116.21,0.0475703,0.450479
420000,1,-0.563046,-110.838,2.32977,0.451428
450000,2,-2.93812,-92.6216,3.60071,0.440367
480000,0,0.407396,-98.1271,0.459567,0.440633
510000,0,0.2087,-113.701,0.804464,0.448167
540000,5,-2.3365,-83.7337,3.60845,0.451689
570000,0,1.06156,-102.205,0.115609,0.450233
600000,1,0.749096,-98.875,1.26404,0.448433
630000,7,-0.256743,-103.06,3.1217,0.450967
660000,1,1.15097,-111.69,0.479933,0.447756
690000,0,0.0134073,-106.522,0.012144,0.452129
720000,0,0.600219,-107.808,0.317707,0.456667
750000,0,0.793473,-107.271,0.312301,0.453075
780000,0,1.01919,-103.177,0.10716,0.448667
810000,0,0.47833,-114.844,0.305015,0.452311
840000,2,0.457518,-108.23,1.45397,0.44792
870000,4,-1.38196,-109.092,3.47278,0.450456
900000,3,-2.40991,-101.668,4.74102,0.454378
930000,0,0.128549,-114.19,0.864637,0.454883
960000,0,0.874876,-112.254,0.135487,0.452233
990000,1,-0.612164,-96.3307,1.5797,0.450147
1020000,0,1.10715,-107.811,0.0672178,0.450333
1050000,1,0.0179297,-109.094,0.794259,0.454867
1080000,1,-0.834798,-114.248,0.835703,0.462117
1110000,1,-1.53555,-124.342,0.760496,0.461533
1140000,2,-1.69502,-84.0839,2.6627,0.454863
1170000,0,-0.639482,-100.754,0.565882,0.450554
1200000,1,-0.553089,-103.551,1.44618,0.440133
1230000,0,0.848187,-113.138,0.0934831,0.4596
1260000,0,0.143594,-115.645,0.724679,0.455333
1290000,3,1.10864,-97.8816,0.516272,0.456983
1320000,0,0.341223,-120.986,0.767414,0.454952
1350000,0,-0.0147307,-123.886,1.11491,0.460267
1380000,0,1.02894,-114.982,0.0943022,0.455367
1410000,8,-4.42873,-102.898,4.36596,0.457808
1440000,3,-0.0804843,-105.564,0.529936,0.457878
1470000,4,-1.39179,-107.974,3.23611,0.452078
1500000,1,1.06192,-100.91,0.185363,0.452217
1530000,0,0.478191,-104.726,0.246323,0.462933
1560000,0,0.00247181,-118.111,0.921349,0.450683
1590000,0,0.890206,-110.511,0.14664,0.443983
1620000,3,-4.41893,-113.314,1.93794,0.449067
1650000,3,-2.72208,-96.8286,0.830166,0.451418
1680000,0,0.47994,-116.7,0.398528,0.449467
1710000,4,-7.75563,-126.126,3.88426,0.463478
1740000,0,-0.0207824,-115.746,0.786873,0.452297
1770000,0,0.821681,-118.712,0.18291,0.467
1800000,2,0.0795922,-105.63,0.689191,0.455392
1830000,0,-1.32453,-129.813,0.170981,0.448717
1860000,0,-0.0746678,-129.918,0.804586,0.456856
1890000,2,-2.80071,-112.156,1.96515,0.452067
1920000,0,-0.394771,-117.635,0.119685,0.463
1950000,0,-1.02804,-103.045,0.577358,0.443833
1980000,6,-1.67996,-113.219,2.08307,0.455067
2010000,1,0.34664,-110.229,0.212733,0.454824
2040000,0,-0.0508981,-107.827,1.11189,0.452133
2070000,0,-0.697934,-124.445,0.0501098,0.466183
2100000,0,-0.758074,-115.217,0.353312,0.462983
2130000,0,-1.27791,-115.449,0.0335818,0.463567
2160000,0,-0.0648768,-111.11,0.558793,0.465683
2190000,1,0.758854,-102.197,0.798688,0.4489
2220000,3,3.73181,-106.114,0.902251,0.456811
2250000,4,-6.87661,-104.446,4.5131,0.453183
2280000,1,1.54468,-116.414,0.100757,0.453722
2310000,2,-5.09823,-95.8935,5.50357,0.451062
2340000,0,0.434947,-118.664,0.536913,0.451844
2370000,0,-0.104508,-105.453,0.162453,0.452589
2400000,0,0.411662,-106.785,0.11556,0.4483
2430000,0,0.608789,-106.792,0.263406,0.4526
2460000,0,0.641716,-106.18,0.409635,0.445847
