generation,leftchild,rightchild,abstime,betainit,betashift
840000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.269958,0.0250966
840000,RbeniJLB0010_0048_AAEI,NA,14.5798,2.17714,-0.0264946
840000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,7.99726,0.0216911,-0.0423312
870000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.202011,0.0129265
870000,RlamaJLB07_002_0086_AAIG,NA,13.6064,0.358707,0.0741995
870000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.9209,1.11764,-0.164438
870000,RvariSCF2014_0900_AJAA,NA,13.7266,0.351275,-0.0507788
870000,Rvent_0165_ABGF,NA,12.9385,0.290379,-0.00226695
900000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.493156,-0.0613678
900000,Rvent_0154_ABFE,NA,12.7127,0.708072,-0.0990907
900000,RvariSCF2014_0900_AJAA,NA,13.3251,0.306906,-0.0292584
900000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,12.8282,0.455102,0.0685102
930000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.207274,0.0484943
960000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.376831,-0.0239063
990000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.103602,0.133388
990000,RflavJLB17_052_0456_AEFG,NA,14.3015,0.159724,-0.0293121
1020000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.191688,0.0162575
1050000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.522036,-0.0642695
1050000,EcaptJB0004n1_0239_ACDJ,NA,3.97995,0.184567,0.111056
1080000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.677945,-0.0682767
1080000,RventLSUMZ_12925_0577_AFHH,NA,14.2968,1.38894,0.0959718
1110000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.995835,-0.0893181
1110000,Rsp32904_0407_AEAH,NA,13.4933,1.95543,-0.0852668
1140000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.800668,-0.0975703
1140000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,9.23576,0.000316971,-0.0827326
1140000,RsireJLB17_063_0465_AEGF,Rbiol_0053_AAFD,10.6559,1.19612,0.0524194
1170000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.122982,0.127558
1200000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.134419,0.118006
1200000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,13.0506,0.730739,-0.00866942
1230000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.429002,-0.030577
1260000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.476816,-0.0373718
1290000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.458085,-0.0359279
1290000,RretiMNCN_26963_0395_ADJF,RretiMNCN_27372_0417_AEBH,12.713,1.49609,-0.111073
1290000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,8.53228,0.00593922,0.0500667
1290000,Mminu_0244_ACEE,NA,10.9047,1.23603,-0.0170935
1320000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.304658,-0.00536216
1350000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.261842,0.0230018
1380000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.283567,-0.00663628
1410000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.131612,0.102559
1410000,RfantJLB07_046_0069_AAGJ,NA,13.8316,1.11277,-0.171691
1410000,RuakaJLB17_142_0815_AIBF,RuakaJLB17_051_0455_AEFF,12.0074,0.396379,0.0600787
1410000,RdeflJLB08_005_0055_AAFF,RdeflJLB08_008_0057_AAFH,10.5883,0.86531,-0.088854
1410000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,9.27094,0.0599319,-0.0445702
1410000,RyavaJLB08_157_0173_ABHD,NA,14.4609,1.10817,-0.10334
1410000,RimitJLB07_42_0404_AEAE,RimitJLB07_49_2_0655_AGFF,13.6735,0.543874,-0.112386
1410000,Rlama_0091_AAJB,NA,12.8382,2.45304,0.05359
1410000,EcaptJB0004n1_0239_ACDJ,NA,5.70092,0.781203,-0.0261171
1440000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.284371,-0.00943476
1440000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,6.71336,0.0058101,-0.190532
1440000,RvanzIP_MTR28162_0635_AGDF,NA,14.4159,0.214076,-0.0362893
1440000,RsireJLB07_031_0104_ABAE,NA,13.2074,1.40128,0.0716706
1470000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.234036,0.0138459
1470000,RbeniJB0027_0050_AAFA,RbeniJLB07_027_0046_AAEG,13.9457,1.08955,-0.09477
1470000,RtoraSCF1534_0888_AIII,NA,14.4109,0.180248,-0.00340922
1470000,RlamaJLB08_098_0089_AAIJ,NA,14.0108,1.32722,-0.0413036
1470000,Rlama_0091_AAJB,NA,14.0835,0.217898,0.143868
