generation,leftchild,rightchild,abstime,betainit,betashift
420000,RlamaJLB08_098_0089_AAIJ,NA,14.0547,0.522624,-0.184518
450000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.000994437,0.0566027
450000,Rfant_0062_AAGC,NA,13.5788,2.23924,-0.0411236
450000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.3821,1.2456,-0.06774
450000,RimitJLB17_089_0588_AFII,NA,14.0882,1.14545,0.0995853
450000,RlamaJLB08_098_0089_AAIJ,NA,12.9571,0.0990377,-0.113527
480000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00140255,-0.00683814
480000,Rfant_0062_AAGC,NA,13.5547,1.80564,-0.0634739
480000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4748,1.34793,0.0406174
480000,Ruaka_0119_ABBJ,NA,14.5858,0.0109834,-0.0372115
480000,RventJLB08_019_0264_ACGE,NA,13.1414,0.0245466,-0.000633785
480000,RimitJLB17_089_0588_AFII,NA,13.6538,0.895469,0.043499
510000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00127,0.0600704
510000,Rfant_0062_AAGC,NA,14.1363,0.182558,0.0585157
510000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6262,0.655401,0.0542227
510000,RimitJLB17_089_0588_AFII,NA,13.6263,1.0465,0.0255317
540000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00137955,0.0601181
540000,Rfant_0062_AAGC,NA,14.1849,0.608498,-0.11727
540000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.0404,0.374931,-0.0162003
540000,RretiMNCN_26963_0395_ADJF,NA,14.3624,0.0479572,-0.0319622
540000,RtoraIP_MTR28544_0631_AGDB,NA,14.6115,0.0651185,-0.103644
540000,RimitJLB17_089_0588_AFII,NA,13.6985,1.87603,-0.048855
570000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00173916,0.000295124
570000,Rfant_0062_AAGC,NA,13.9559,0.535422,-0.0299347
