generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.291938,-95.8449,1,0
30000,4,-1.35569,179.022,0.839369,0.230459
60000,2,0.38504,137.162,0.299576,0.278617
90000,2,0.631845,138.074,1.26947,0.2348
120000,4,-2.08817,168.306,2.61,0.209698
150000,5,1.62346,176.432,0.846766,0.192167
180000,4,1.36185,174.986,4.04687,0.167633
210000,4,-4.17105,170.977,4.63652,0.20325
240000,3,-3.37883,182.967,1.67375,0.167533
270000,3,0.53253,192.639,2.79879,0.164767
300000,4,1.07605,171.117,4.49011,0.221819
330000,5,5.13359,203.881,2.06529,0.158553
360000,4,4.67016,180.566,1.34275,0.157089
390000,3,3.61101,174.768,2.05302,0.160925
420000,6,-0.930373,177.967,2.70568,0.152417
450000,4,-6.98635,197.338,5.24041,0.156975
480000,5,0.831127,201.789,3.47063,0.149433
510000,3,1.5439,191.241,3.04736,0.149267
540000,5,2.14744,168.625,3.08939,0.1541
570000,3,-9.37532,201.778,3.86766,0.153833
600000,3,-0.781357,182.447,2.23881,0.155283
630000,4,-5.0179,190.418,4.18863,0.1554
660000,2,-3.12899,174.968,2.4503,0.178233
690000,4,3.29897,182.924,3.08985,0.1491
720000,3,-4.49454,194.533,4.51139,0.147033
750000,4,0.672949,191.414,4.56544,0.151767
780000,3,1.6801,186.352,2.99174,0.160789
810000,3,0.254603,193.167,1.7893,0.146811
840000,4,0.529776,190.723,2.61329,0.146089
870000,5,-6.95232,190.942,3.69168,0.1527
900000,3,3.51295,175.183,1.38121,0.152556
930000,3,0.345205,189.613,2.69981,0.177033
960000,4,3.7064,210.653,2.34968,0.153489
990000,6,2.07279,183.17,3.10013,0.1583
1020000,4,1.01356,186.089,2.44725,0.170522
1050000,3,2.27905,208.007,1.86647,0.1537
1080000,3,1.32168,192.996,3.83786,0.153
1110000,4,-7.7074,171.229,3.43291,0.154833
1140000,4,2.06178,199.359,1.81393,0.153013
1170000,3,1.26465,198.479,1.97346,0.153795
1200000,3,-0.186431,203.479,1.40996,0.152311
1230000,3,0.586759,174.086,1.73652,0.149889
1260000,3,6.03676,162.204,1.03659,0.191808
1290000,4,-1.46584,183.798,1.68426,0.154633
1320000,3,1.33389,184.416,1.26477,0.14772
1350000,5,0.960794,190.507,1.71887,0.149607
1380000,3,-0.772223,177.532,1.21149,0.158433
1410000,5,3.52781,207.875,3.01264,0.156908
